Filename,Description,URL,Reference,Original License,Public Reshare?,Derived License,Notes,Contributor,Date,Measurement Focus,Response Type,Target Population,Domain of Measurement,Scoring Methodology,Data Structure,Data Source,Context of Use,Item Format,Geographic Location
mpsycho_Rogers,Depression/OCD collected in a hospital,https://cran.r-project.org/web/packages/MPsychoR/index.html,"McNally, R. J., Mair, P., Mugno, B. L., and Riemann, B. C. (2017). Comorbid obsessive-compulsive disorder and depression: A Bayesian network approach. Psychological Medicine, 47(7), 1204- 1214.",GPL-2,Public,GPL-2,Data modified from original on 2-22-2023,BD,,Health/Well-being,Unknown,Unknown,Psychological Disorders (Depression/OCD),Unknown,Unknown,Test-based,Psychological Screening,Unknown,Unknown
mpsycho_rwdq,Work design questionnaire from open-source developers,https://cran.r-project.org/web/packages/MPsychoR/index.html,"Mair, P., Hofmann, E., Gruber, K., Zeileis, A., & Hornik, K. (2015) Motivation, values, and work design as drivers of participation in the R open source Project for Statistical Computing. Proceedings of the National Academy of Sciences of the United States of America, 112(48), 14788-14792.",GPL-2,Public,GPL-2,Data modified from original on 2-22-2023,BD,,Work Design,Unknown,Open-source Developers,Work Design,Unknown,Unknown,Supplementary materials and datasets for the book 'Modern Psychometrics With R',Unknown,Questionnaire,Unknown
mpsycho_wenchuan,PTSD data from disaster survivors,https://cran.r-project.org/web/packages/MPsychoR/index.html,"McNally, R. J., Robinaugh, D. J., Wu, G. W. Y., Wang, L., Deserno, M. K., & Borsboom, D. (2015). Mental disorders as causal systems: A network approach to posttraumatic stress disorder. Clinical Psychological Science, 3(6), 836-849.",GPL-2,Public,GPL-2,Data modified from original on 2-22-2023,BD,,Health/Well-being,Unknown,Disaster survivors,PTSD,Unknown,Unknown,Supplementary materials and datasets for the book 'Modern Psychometrics With R',Unknown,Unknown,Unknown
mpsycho_wilmer,PVMT task data,https://cran.r-project.org/web/packages/MPsychoR/index.html,"Wilmer, J. B., Germine, L., Chabris, C. F., Chatterjee, G., Gerbasi, M. & Nakayama, K. (2012): Capturing specific abilities as a window into human individuality: The example of face recognition, Cognitive Neuropsychology, 29, 360-392",GPL-2,Public,GPL-2,Data modified from original on 2-22-2023,BD,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Test-based,Unknown,Unknown,Unknown
mpsycho_wilpat,Wilson-Patterson conservatism scale,https://cran.r-project.org/web/packages/MPsychoR/index.html,,GPL-2,Public,GPL-2,Data modified from original on 2-22-2023,BD,,Political Attitudes,Unknown,Unknown,Conservatism,Unknown,Unknown,Test-based,Unknown,Unknown,Unknown
mpsycho_YouthDep,Youth depression scale,https://cran.r-project.org/web/packages/MPsychoR/index.html,"Vaughn-Coaxum, R. A., Mair, P., & Weisz, J. R. (2015). Racial/ethnic differences in youth depression indicators: An Item Response Theory analysis of symptoms reported by White, Black, Asian, and Latino youths. Clinical Psychological Science, 4, 239-253.",GPL-2,Public,GPL-2,Data modified from original on 2-22-2023,BD,,Health/Well-being,Unknown,Youth,Depression,Unknown,Unknown,Test-based,Unknown,Unknown,Unknown
mpsycho_zareki,ZAREKI-R test battery,https://cran.r-project.org/web/packages/MPsychoR/index.html,"Koller, I., & Alexandrowicz, R. W. (2010) Eine psychometrische Analyse der ZAREKI-R mittels Rasch-Modellen [A psychometric analysis of the ZAREKI-R using Rasch-models]. Diagnostica 56, 57-67.",GPL-2,Public,GPL-2,Data modified from original on 2-22-2023,BD,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Test-based,Unknown,Unknown,Unknown
mq_supremecourt,Supreme Court voting record,https://mqscores.lsa.umich.edu/replication.php,"Martin, A. D., & Quinn, K. M. (2002). Dynamic ideal point estimation via Markov chain Monte Carlo for the US Supreme Court, 1953–1999. Political analysis, 10(2), 134-153.",CC BY-NC 3.0 US DEED,Public,CC BY-NC 3.0 US DEED,"see email 2-17-2024, admartin@wustl.edu",BD,,Political Attitudes,Unknown,Unknown,Legal Decision Making,Unknown,Unknown,Unknown,Legal Decision Making,Unknown,Unknown
mturkddm_by,Numerosity task (BY) administered to Mturkers,https://osf.io/za9y8/,"Ratcliff, R., Hendrickson, A.T. Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?. Behav Res 53, 2302–2325 (2021). https://doi.org/10.3758/s13428-021-01573-x",email,,,,BD,,,,Adults,,,,Behavioral Task-based,,,Unknown
mturkddm_lexical,Lexical decision task administered to Mturkers,https://osf.io/za9y8/,"Ratcliff, R., Hendrickson, A.T. Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?. Behav Res 53, 2302–2325 (2021). https://doi.org/10.3758/s13428-021-01573-x",email,,,,BD,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Behavioral Task-based,Unknown,Unknown,Unknown
mturkddm_recognition,Word recognition task administered to Mturkers,https://osf.io/za9y8/,"Ratcliff, R., Hendrickson, A.T. Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?. Behav Res 53, 2302–2325 (2021). https://doi.org/10.3758/s13428-021-01573-x",email,,,,BD,,Unknown,Unknown,Adults,Unknown,Unknown,Unknown,Behavioral Task-based,Unknown,Unknown,Unknown
mturkddm_y25,Numerosity task (Y25) administered to Mturkers,https://osf.io/za9y8/,"Ratcliff, R., Hendrickson, A.T. Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?. Behav Res 53, 2302–2325 (2021). https://doi.org/10.3758/s13428-021-01573-x",email,,,,BD,,Unknown,Unknown,Adults,Unknown,Unknown,Unknown,Behavioral Task-based,Unknown,Unknown,Unknown
naep_multilcirt,Extract from 1996 NAEP,https://cran.r-project.org/web/packages/MultiLCIRT/index.html,"Bartolucci, F., Bacci, S. and Gnaldi, M. (2014), MultiLCIRT: An R package for multidimensional latent class item response models, Computational Statistics and Data Analysis, 71, 971-985.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 5-8-2023,BD,,Unknown,Dichotomous and ordinal polytomous,Unknown,Unknown,Item Response Theory,Unknown,Unknown,Unknown,Unknown,Unknown
nature_relatedness,Data on the strength of connection to nature that individuals feel,http://openpsychometrics.org/_rawdata/,"Nisbet, E., Zelenski, J. (2018). Nature Relatedness Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/NR6-data-14Nov2018.zip",,Public,CC BY 4.0,,LCM,,Unknown,Continuous,Unknown,Affective Measures,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Global
nerdy_personality,Attempt to quantify 'nerdiness',http://openpsychometrics.org/_rawdata/,(2015). Development of the Nerdy Personality Attributes Scale [dataset and codebook]. http://openpsychometrics.org/tests/NPAS/development/,,Public,CC BY 4.0,,LCM,,Personality Traits,Unknown,Unknown,Psychological,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Global
neurlps_2020,"Items from a dataset from the 2020 NeurIPS Education Challenge, which was used to predict student responses, determine question quality, etc",https://eedi.com/research#data,"Wang, Z., Lamb, A., Saveliev, E., Cameron, P., Zaykov, Y., Hernández-Lobato, J.M., Turner, R.E., Baraniuk, R.G., Barton, C., Jones, S.P., Woodhead, S., & Zhang, C. (2020). Diagnostic questions: The neurips 2020 education challenge [data set]. arXiv preprint arXiv:2007.12061",Creative Commons — Attribution-NonCommercial-NoDerivatives 4.0 International — CC BY-NC-ND 4.0,,,,LCM,,Educational Ability,Unknown,Students,Cognitive Skills,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Unknown
neurlps_2022,"Items from a dataset from the 2022 NeurIPS Education Challenge, is based on real AB experiment data to  uncover causal links between learning one construct to the success of learning another",https://eedi.com/research#data,"Gong, W., Smith, D., Wang, Z., Barton C., Woodhead, S., Pawlowski, N., Jennings, J., Zhang, C. (2022). NeurIPS Competition Instructions and Guide: Causal Insights for Learning Paths in Education [data set]. arXiv:2208.12610",Creative Commons — Attribution-NonCommercial-NoDerivatives 4.0 International — CC BY-NC-ND 4.0,,,,LCM,,Educational Ability,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
non_parametric_mixture_modeling_exp1_Cleaned,Decision-making under time pressure based on indicating which of two displayed circles flashes most frequently,https://osf.io/24ydg/,"Archambeau, K., Couto, J. & Van Maanen, L. Non-parametric mixture modeling of cognitive psychological data: A new method to disentangle hidden strategies. Behav Res 55, 2232–2248 (2023). https://doi.org/10.3758/s13428-022-01837-0
Miletić, S., & van Maanen, L. (2019). Caution in decision-making under time pressure is mediated by timing ability. Cognitive Psychology, 110, 16-29.",email confirmation 2-19-2024,Public,CC BY 4.0,,,,Decision-making under time pressure,Dichotomous,Unknown,Cognitive Skills,Unknown,Unknown,Behavioral Task-based,Unknown,Unknown,Unknown
nonverbal_immediacy,Data on nonverbal behavioral tendencies,http://openpsychometrics.org/_rawdata/,"Richmond, V. P., McCroskey, J. C., & Johnson, A. D. (2003). Development of the Nonverbal Immediacy Scale (NIS): Measures of self- and other-perceived nonverbal immediacy. Communication Quarterly, 51, 502-515. ",,Public,CC BY 4.0,,LCM,,Personality Traits,Unknown,Unknown,Behavioral Measures,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Global
number_pattern_game,606 Amazon Mechanical Turk were shown a set of numbers and asked what other numbers are likely to belong to the set,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/A8ZWLF,"Bigelow, Eric J.; Piantadosi, Steven T., 2018, ""Large Dataset of Generalization Patterns in the Number Game"", https://doi.org/10.7910/DVN/A8ZWLF, Harvard Dataverse, V1, UNF:6:zUgVtjc9CKvWc4pB//Qp6A== [fileUNF]",CC0 1.0,Public,CC BY 4.0,,LCM,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
offlinefriend_bigfive,Big five measure from UK university students,https://osf.io/9y2rh/,"Satchell, L.P., Fido, D., Harper, C.A. et al. Development of an Offline-Friend Addiction Questionnaire (O-FAQ): Are most people really social addicts?. Behav Res 53, 1097–1106 (2021). https://doi.org/10.3758/s13428-020-01462-9",email confirmation 2-19-2024,Public,CC BY 4.0,,BD,,Personality Traits,Unknown,College Students,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,UK-based
offlinefriend_dospert,Domain-specific risk taking measure (DOSPERT) from UK university students,https://osf.io/9y2rh/,"Satchell, L.P., Fido, D., Harper, C.A. et al. Development of an Offline-Friend Addiction Questionnaire (O-FAQ): Are most people really social addicts?. Behav Res 53, 1097–1106 (2021). https://doi.org/10.3758/s13428-020-01462-9",email confirmation 2-19-2024,Public,CC BY 4.0,,BD,,Risk-taking behavior,Unknown,UK university students,Behavioral Measures,Unknown,Unknown,Unknown,Unknown,Unknown,UK
offlinefriend_ofaq,Offline-Friend Addiction Questionnaire (OFAQ) from UK university students,https://osf.io/9y2rh/,"Satchell, L.P., Fido, D., Harper, C.A. et al. Development of an Offline-Friend Addiction Questionnaire (O-FAQ): Are most people really social addicts?. Behav Res 53, 1097–1106 (2021). https://doi.org/10.3758/s13428-020-01462-9",email confirmation 2-19-2024,Public,CC BY 4.0,,BD,,,,UK university students,,,,Unknown,,Offline-Friend Addiction Questionnaire (OFAQ),UK
oli_psych_course,Grading data from an OLI psychology course,https://pslcdatashop.web.cmu.edu/Files?datasetId=5255,"Cheng, H. (2022). Gradebook for OLI Psych course [dataset]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=5255",,Private,,,LCM,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
pact_project,"Data from the Promoting Adolescents' Comprehension of Text Project, in which 7 - 12 grade students respond to item to gauge the role of cognitive processes, motivation, engagement, etc to improve reading comprehension",https://ldbase.org/projects/130f6e77-0cd1-428d-b9d5-1e412a2a0f45,"Vaughn, S., Swanson, E., Roberts, G., Martinez, L., Wanzek, J., Simmons, D., Clemens, N., & Fogarty, M. (2021). PACT8 2011-2012, PACT8 2012-2013, PACT11 2011-2012, PACT11 2012-2013, Vocabulary and Comprehension (VoCO) Project [datasets]. LDbase. http://ldbase.org/datasets/7a353ad7-4859-47a0-8aad-000889fed91a
","Open Data Commons Attribution License (ODC-By)
",Public,CC BY 4.0,,LCM,,Reading Comprehension,Dichotomous,Grades 7-12 Students,"Cognitive Processes, Motivation, Engagement",Unknown,Unknown,Test-based,Educational Assessment,Unknown,U.S.-based
parental_text_intervention,Survey items from dataset used to assess effectiveness of parental text message intervention,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XUEU90,"Scherer, Ethan; Catherine Asher; Kim, James, 2021, ""Replication Data for: Using a Factorial Design to Maximize the Effectiveness of a Parental Text Messaging Intervention"", https://doi.org/10.7910/DVN/XUEU90, Harvard Dataverse, V1, UNF:6:yfNiyfKzlJz+tCM15Lo+DQ== [fileUNF]",Custom terms: https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XUEU90&version=1.1&selectTab=termsTab,Public,CC BY 4.0,"• Should this data be used in subsequent research that is published or presented, the original publishers of the data at the READS Lab at Harvard University's Graduate School of Education must be notified. Please email Ethan Scherer (ethan_scherer@gse.harvard.edu).
• This data in its original and transformed version do not represent the opinions of their original publishers from READS Lab at Harvard University's Graduate School of Education or their funders",LCM,,Health/Well-being,Unknown,Parents,Effectiveness of parental text message intervention,Unknown,Unknown,Survey-based,Unknown,Unknown,Unknown
pirlsmissing_sirt,Data from 2011 PIRLS from one booklet and 4 countries.,https://cran.r-project.org/web/packages/sirt/index.html,"Robitzsch A (2022). sirt: Supplementary Item Response Theory Models. R package version 3.12-66, https://CRAN.R-project.org/package=sirt.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-29-2023,BD,,Educational Ability,Unknown,Unknown,Cognitive Skills,Item Response Theory,Unknown,Test-based,Educational Assessment,Unknown,Global
pisa2000_math,Data on math from a large scale international assessment of 15 year olds,https://www.oecd.org/pisa/data/database-pisa2000.htm,,Creative Commons Attribution-NonCommercial-ShareAlike 3.0 IGO (CC BY-NC-SA 3.0 IGO),Public,,License from https://www.oecd.org/pisa/aboutpisa/,,,Educational Ability,Unknown,15 year olds,Mathematics,Unknown,Unknown,Unknown,Educational Assessment,Unknown,International
pisa2000_read,Data on read from a large scale international assessment of 15 year olds,https://www.oecd.org/pisa/data/database-pisa2000.htm,,Creative Commons Attribution-NonCommercial-ShareAlike 3.0 IGO (CC BY-NC-SA 3.0 IGO),Public,,,,,Educational Ability,Unknown,15 year olds,Unknown,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Global
pisa2000_science,Data on science from a large scale international assessment of 15 year olds,https://www.oecd.org/pisa/data/database-pisa2000.htm,,Creative Commons Attribution-NonCommercial-ShareAlike 3.0 IGO (CC BY-NC-SA 3.0 IGO),Public,,,,,Science,Unknown,15 year olds,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Global
pisa2003_math,Data on math from a large scale international assessment of 15 year olds,https://www.oecd.org/pisa/data/database-pisa2003.htm,,Creative Commons Attribution-NonCommercial-ShareAlike 3.0 IGO (CC BY-NC-SA 3.0 IGO),Public,CC BY-NC-SA 3.0 IGO,Original license: https://creativecommons.org/licenses/by-nc-sa/3.0/igo/,RK,,Educational Ability,Unknown,15 year olds,Math,Unknown,Unknown,Unknown,Educational Assessment,Unknown,International
pisa2003_problem_solving,Data on problem solving from a large scale international assessment of 15 year olds,https://www.oecd.org/pisa/data/database-pisa2003.htm,,Creative Commons Attribution-NonCommercial-ShareAlike 3.0 IGO (CC BY-NC-SA 3.0 IGO),Public,CC BY-NC-SA 3.0 IGO,Original license: https://creativecommons.org/licenses/by-nc-sa/3.0/igo/,RK,,Cognitive Skills,Unknown,15 year olds,Problem Solving,Unknown,Unknown,Assessment,Educational Assessment,Unknown,Global
