_key,Evaluator,"Decision
Yes=start github issue
,,,dataverse,Replication Data for: Financial literacy under intrinsic and extrinsic motivation. A survey-experimental research.,https://doi.org/10.7910/DVN/8XGUZI,10.7910/dvn/8xguzi,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['obs;gender;treatment;total_time;Q1;Q2;Q3'],,,,,data.csv,1,cc0,recoverable_format,"File is semicolon-delimited but was read with comma delimiter. Header tokens include ['obs', 'gender', 'treatment', 'total_time', 'Q1', 'Q2']... — re-read with sep=';' and re-run triage. Contains ~3 apparent item columns.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,osf,Assessing Creative Self-Efficacy in the Spanish Workplace: Adaptation and Validation of Two Self-Report Scales,https://osf.io/mksw2/,,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Gender;Age;EducationLevel;JobExperience;BFI_E;BFI_A;BFI_C;BFI_N;BFI_O;SE;CSEtf;CSEcs;BFI_1;BFI_1R;BFI_2;BFI_3;BFI_3R;BFI_4;BFI_5;BFI_6;BFI_7;BFI_7R;BFI_8;BFI_8R;BFI_9;BFI_10;BFI_10R;BFI_11;BFI_12;BFI_13;BFI_14;BFI_14R;BFI_15;BFI_16;BFI_17;BFI_17R;BFI_1,,,,,CSE_OpenData.csv,0,unknown,recoverable_format,"File is semicolon-delimited but was read with comma delimiter. Header tokens include ['Gender', 'Age', 'EducationLevel', 'JobExperience', 'BFI_E', 'BFI_A']... — re-read with sep=';' and re-run triage. Contains ~0 apparent item columns.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Additional file 2 of Physical self-concept and ability to swim in patients born with anorectal malformation and Hirschsprung’s disease: a case control study,https://springernature.figshare.com/articles/dataset/Additional_file_2_of_Physical_self-concept_and_ability_to_swim_in_patients_born_with_anorectal_malformation_and_Hirschsprung_s_disease_a_case_control_study/26554625,10.6084/m9.figshare.26554625.v1,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['ID', 'sex', 'age', 'condition', 'Only MH: Extend of disease', 'Only MH: Age at pullthrough', 'Only ARM: type of malformation', 'VACTERL:Spina bifida', 'VACTERL: Esophageal atresia', 'VACTERL: congenital heart disease requiering treatment', 'VACTERL: co",,,,,12887_2022_3782_MOESM2_ESM.xlsx,0,cc-by-+-cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,"Work overload, organisational commitment, and emotional intelligence among public hospital nurses in South Africa.",https://ufs.figshare.com/articles/dataset/Work_overload_organisational_commitment_and_emotional_intelligence_among_public_hospital_nurses_in_South_Africa_/25406359,10.38140/ufs.25406359.v1,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Demogrphics', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9', 'Unnamed: 10', 'Emotional Intelligence  ', 'Unnamed: 12', 'Unnamed: 13', 'Unnamed: 14', 'Unnamed: 15', 'Unnamed:",,,,,Correct Research data.xlsx,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,How Does Gender Stereotype Affect Women’s Career Progression Toward Top-Leadership Positions in the Corporate Industries of Bangladesh?,https://figshare.com/articles/dataset/Gender_Stereotype_and_Women_Leadership/25243042,10.6084/m9.figshare.25243042.v4,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Table 1: Targeted Population Classification', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Table 2: Sample characteristics', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8']",,,,,Sample.csv,1,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,dataverse,"Swim exercise in Caenorhabditis elegans extends neuromuscular and gut healthspan, enhances learning ability, and protects against neurodegeneration",https://doi.org/10.7910/DVN/2JRK7M,10.7910/dvn/2jrk7m,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'Swim exercise in Caenorhabditis elegans extends neuromuscular and gut healthspan, enhances learning ability, and protects against neurodegeneration' as fallback — verify this is the person identifier. | Could not confidently identify item col",,,,,Raw_data_Laranjeiro_et_al._2019.xlsx,0,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7910/dvn/kfpq6m,,,dataverse,"Perceived social support, self-esteem, and depression among Indian trans men with and without sex reassignment surgery",https://doi.org/10.7910/DVN/KFPQ6M,10.7910/dvn/kfpq6m,human_review,"QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction*",210,29,7,1.0345,Transmen in India - Data.xlsx,0,cc0,human_review,dup_id_item unresolved by automated retry — needs human to identify correct id column,,,,,,"Guessed person column: 'Respondent (Initials)'.; Guessed 7 item columns: ['Age', 'Self-esteem Total Score', 'Soc.supp Family', 'Soc.supp Friends', 'Soc.supp Significant Others', 'Soc.supp Total Score']....; VERIFY: are responses ordinal & consistently coded (higher = stronger) within each item?; Cou",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7910/dvn/luudqc,,,dataverse,Dataset of the initial validation of Questionnaire for the Self-assessment of University Service-learning Experiences (QaSLu),https://doi.org/10.7910/DVN/LUUDQC,10.7910/dvn/luudqc,human_review,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",6490,35,55,3.3714,Qaslu.xlsx,1,cc0,human_review,dup_id_item unresolved by automated retry — needs human to identify correct id column,,,,,,"No column met the id heuristic (≥50% unique, non-float); used first column 'Age' as fallback — verify this is the person identifier.; Guessed person column: 'Age'.; Guessed 55 item columns: ['AgeGroups', 'Gender', 'Experience', 'YearsExperience', 'SLRole', 'Target']....; VERIFY: are responses ordina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7910/dvn/ybkbzf,,,dataverse,Astrocyte dysfunction drives abnormal resting-state functional connectivity in depression,https://doi.org/10.7910/DVN/YBKBZF,10.7910/dvn/ybkbzf,human_review,"QC failed on: dup_id_item | QC warnings to review: id_na, resp_ordinal*, resp_direction*, imputed_values*",324,10,18,1.8,abo2098.xlsx,1,cc0,human_review,dup_id_item unresolved by automated retry — needs human to identify correct id column,,,,,,"Guessed person column: 'Figure 1D'.; Guessed 18 item columns: ['Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6']....; VERIFY: are responses ordinal & consistently coded (higher = stronger) within each item?; Could not resolve dup_id_item automatically. Ratio n_resp/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.25403/upresearchdata.19086134.v1,,,figshare,Parental well-being in the context of child sleep interventions,https://researchdata.up.ac.za/articles/dataset/Parental_well-being_in_the_context_of_child_sleep_interventions/19086134,10.25403/upresearchdata.19086134.v1,human_review,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*",942,29,13,2.4987,Pre and post test results for five scales.xlsx,1,cc-by,human_review,dup_id_item unresolved by automated retry — needs human to identify correct id column,,,,,,"No column met the id heuristic (≥50% unique, non-float); used first column 'SPANEBPre' as fallback — verify this is the person identifier.; Guessed person column: 'SPANEBPre'.; Guessed 13 item columns: ['SPANEBpost', 'SPANEPPre', 'SPANEPPost', 'SPANENPre', 'SPANENPost', 'CSIPre']....; VERIFY: are re",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7910/dvn/jbpz9e,,,dataverse,"The Impact of Mental Disorders, Physical Health Conditions, Social Media Usage, and Changes in Employment on Emotional Wellbeing in Colorado",https://doi.org/10.7910/DVN/JBPZ9E,10.7910/dvn/jbpz9e,human_review,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",1727,7,32,7.7098,Colorado Mental Health Numerical Survey Results.xlsx,0,cc0,human_review,dup_id_item unresolved by automated retry — needs human to identify correct id column,,,,,,"No column met the id heuristic (≥50% unique, non-float); used first column 'What is your age? If you are not 18 years of age or older, please do not complete this survey.' as fallback — verify this is the person identifier.; Guessed person column: 'What is your age? If you are not 18 years of age or",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6084/m9.figshare.31956012.v2,,,figshare,Artificial Intelligence Adoption and Administrative Staff Competencies in Basic-Education Institutions: A Human Capital Perspective on Institutional Performance and Professional Autonomy,https://figshare.com/articles/dataset/Artificial_Intelligence_Adoption_and_Administrative_Staff_Competencies_in_Basic-Education_Institutions_A_Human_Capital_Perspective_on_Institutional_Performance_and_Professional_Autonomy/31956012,10.6084/m9.figshare.31956012.v2,human_review,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale*",2156,5,22,19.6,DATA SET_PLS_SEM_IA.xlsx,0,cc-by,human_review,dup_id_item unresolved by automated retry — needs human to identify correct id column,,,,,,"No column met the id heuristic (≥50% unique, non-float); used first column 'IA1' as fallback — verify this is the person identifier.; Guessed person column: 'IA1'.; Guessed 22 item columns: ['IA2', 'IA3', 'IA4', 'IA5', 'IA6', 'IA7']....; VERIFY: are responses ordinal & consistently coded (higher = s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Music Training Increases Phonological Awareness and Reading Skills in Developmental Dyslexia,https://figshare.com/articles/dataset/Music_Training_Increases_Phonological_Awareness_and_Reading_Skills_in_Developmental_Dyslexia/1537406,10.6084/m9.figshare.1537406.v1,human_review,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",1746,2,38,22.9737,Data_REMUS_all_PLOS.xls,0,cc-by,human_review,dup_id_item unresolved by automated retry — needs human to identify correct id column,,,,,,"No column met the id heuristic (≥50% unique, non-float); used first column 'Group' as fallback — verify this is the person identifier.; Guessed person column: 'Group'.; Guessed 38 item columns: ['MTsill/sec_Z_1', 'MTsill/sec_Z_2', 'ParoleErrG_1', 'ParoleErrG_2', 'ParoleSill/SecG_1', 'ParoleSill/SecG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7910/dvn/ajvln6,,,dataverse,"Replication Data for: Psychometric properties of the 21-item Depression, Anxiety, and Stress Scale (DASS-21) among Malaysians during COVID-19: a methodological study",https://doi.org/10.7910/DVN/AJVLN6,10.7910/dvn/ajvln6,human_review,QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*,20391,33,21,29.4242,data_dass21.xlsx,0,cc0,human_review,dup_id_item unresolved by automated retry — needs human to identify correct id column,,,,,,"No column met the id heuristic (≥50% unique, non-float); used first column '1. Age in years' as fallback — verify this is the person identifier.; Guessed person column: '1. Age in years'.; Guessed 21 item columns: ['1.I find it hard to wind down.', '2. I was aware of dryness of my mouth.', '3. I cou",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6084/m9.figshare.27312150.v1,,,figshare,"Transcultural adaptation of an environmental health questionnaire with attitude, knowledge and skills scales for Portuguese nursing students",https://figshare.com/articles/dataset/Transcultural_adaptation_of_an_environmental_health_questionnaire_with_attitude_knowledge_and_skills_scales_for_Portuguese_nursing_students/27312150,10.6084/m9.figshare.27312150.v1,human_review,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: id_na, resp_ordinal*, resp_direction*, imputed_values*, multi_scale*",13038,22,47,12.6093,Bases de datos_Figshare.xlsx,0,cc-by,human_review,dup_id_item unresolved by automated retry — needs human to identify correct id column,,,,,,"No column met the id heuristic (≥50% unique, non-float); used first column 'Age' as fallback — verify this is the person identifier.; Guessed person column: 'Age'.; Guessed 47 item columns: ['Sessions', 'Attitudes 1', 'Attitudes 2', 'Attitudes 3', 'Attitudes 4', 'Attitudes 5']....; VERIFY: are respo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Whole-Body Multifractal Synergies Support Cognitive Visual Word Search,https://tandf.figshare.com/articles/dataset/Whole-Body_Multifractal_Synergies_Support_Cognitive_Visual_Word_Search/30903989,10.6084/m9.figshare.30903989.v1,human_review,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, multi_scale*",23232,22,22,48,DatasetS1.csv,2,cc-by,human_review,dup_id_item unresolved by automated retry — needs human to identify correct id column,,,,,,"No column met the id heuristic (≥50% unique, non-float); used first column 'Participant' as fallback — verify this is the person identifier.; Guessed person column: 'Participant'.; Guessed 22 item columns: ['CoP_Mean', 'CoP_SD', 'CoP_dAlpha', 'CoP_tMF', 'Fixation_Mean', 'Fixation_SD']....; VERIFY: a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6084/m9.figshare.32048739.v1,,,figshare,Likert-scale data on HOTs and MWS,https://figshare.com/articles/dataset/Likert-scale_data_on_HOTs_and_MWS/32048739,10.6084/m9.figshare.32048739.v1,human_review,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*",8932,4,44,50.75,data processed.xlsx,0,cc-by,human_review,dup_id_item unresolved by automated retry — needs human to identify correct id column,,,,,,"No column met the id heuristic (≥50% unique, non-float); used first column 'Age' as fallback — verify this is the person identifier.; Guessed person column: 'Age'.; Guessed 44 item columns: ['Gender', 'Grade', 'STD', 'EnglishScore', 'MeanPS', 'MeanCT']....; VERIFY: are responses ordinal & consistent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
